"","name","sfe","geog","aud","god","gg"
"207","Мамы Череповца рекомендуют","             Социально ориентированные НКО","             Вологодская обл.","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Добровольцы, сторонники НКО, Неполные семьи"," 2012        ",2012
"208","МамыСами","             Содействие самозанятости","             Москва и Московская обл.","                                       Другое"," 2013        ",2013
"209","Мастерская ""Веселый войлок""","             Народные промыслы","             Ярославская обл.","                                       Социально-незащищенные жители"," 2008        ",2008
"210","Мастерская ""Ковчег""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Брянская обл.","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Учащиеся младших классов, Учащиеся средней школы, Безработные, Другое"," 2013        ",2013
"211","Мастерская нужных подарков","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Москва и Московская обл.","                                       Родители с детьми, Социально-незащищенные жители, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"212","Мастерская Черниковых","             Культурно-просветительская деятельность","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Сельские жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2004        ",2004
"213","Медицинский центр развития и реабилитации детей и взрослых ""КузбассНейро""","             Здравоохранение","             Кемеровская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2015        ",2015
"214","Межрегиональная экологическая общественная организация ""ЭКА""","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Молодежь, Учащиеся младших классов, Учащиеся средней школы, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Другое, Некоммерческие организации"," 2010        ",2010
"215","Местная общественная организация «Федерация лыжных гонок г. Чусового»","             Физическая культура и массовый спорт","             Пермский край","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2002        ",2002
"216","Многопрофильный центр развития ""Перспектива""","             Образование","             Ханты-Мансийский АО","                                       Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2016        ",2016
"217","Многофункциональный детский центр г. Уфа","             Социально ориентированные НКО","             Башкортостан(Башкирия)","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Некоммерческие организации"," 2010        ",2010
"218","Молодёжный центр профориентации ""Мой Выбор""","             Образование","             Москва и Московская обл.","                                       Родители с детьми, Молодежь, Учащиеся средней школы, Студенты"," 2016        ",2016
"219","Музей ""Мир времени""","             Культурно-просветительская деятельность","             Алтайский край","                                       Пожилые люди, Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты"," 2008        ",2008
"220","Музей Вятского самовара","             Культура и искусство","             Кировская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2016        ",2016
"221","Музей занимательных наук ""Как-Так?!""","             Образование","             Алтайский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2013        ",2013
"222","Музей занимательных наук ""Реактор""","             Образование","             Пензенская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты"," 2013        ",2013
"223","Музей исчезнувшего вкуса ""Коломенская пастила""","             Развитие территории","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2008        ",2008
"224","Музей-мастерская народных ремесел ""Жар-птица""","             Культурно-просветительская деятельность","             Приморский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2008        ",2008
"225","Наивно? Очень.","             Профориентация и трудоустройство","             Москва и Московская обл.","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2010        ",2010
"226","Негосударственное образовательное учреждение дополнительного образования ""Учебный центр ""Рост.ok!""","             Образование","             Вологодская обл.","                                       Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов"," 2006        ",2006
"227","Некоммерческое партнёрство  содействия организации и развития экологической деревни ""Тартышево"" (НП ""Тартышево"")","             Социально ориентированные НКО","             Башкортостан(Башкирия)","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО"," 2013        ",2013
"228","Некоммерческое партнерство ""Женские инициативы""","             Социально ориентированные НКО","             Нижегородская (Горьковская)","                                       Другое, Некоммерческие организации"," 1997        ",1997
"229","Некоммерческое партнерство Санкт-Петербургский Клуб для собак и их владельцев ""Каштанка""","             Социально ориентированные НКО","             Санкт-Петербург и область","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2014        ",2014
"230","НО БФ ""Личное участие""","             Здравоохранение","             Самарская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2014        ",2014
"231","НОВОСИБИРСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ СИЛОВОГО ЭКСТРИМА"" ","             Социально ориентированные НКО","             Новосибирская обл.","                                       Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО"," 2010        ",2010
"232","Ночлежка","             Социально ориентированные НКО","             Санкт-Петербург и область","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Безработные, Лица без определенного места жительства, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 1990        ",1990
"233","НП Культурный центр ""Без Границ"" ","             Социально ориентированные НКО","             Межрегиональный проект","                                       Люди с ограниченными возможностями, инвалиды, Другое"," 2011        ",2011
"234","ОБЛАКО ЖЕЛАНИЙ","             Развитие территории","             Костромская обл.","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое"," 2011        ",2011
"235","Образовательный проект ""Нешкола""","             Образование","             Новосибирская обл.","                                       Родители с детьми, Дети-сироты, приемные семьи, Учащиеся средней школы"," 2018        ",2018
"236","Образовательный центр ""Перезагрузка""","             Образование","             Ханты-Мансийский АО","                                       Социально-незащищенные жители, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2016        ",2016
"237","Общество с ограниченной ответственностью ""ДжиЭр-групп""","             Сфера услуг","             Санкт-Петербург и область","                                       Молодежь, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Некоммерческие организации"," 2012        ",2012
"238","Общество с ограниченной ответственностью ""Медико-психологический центр ""Капуста""","             Здравоохранение и содействие здоровому образу жизни","             Вологодская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Сельские жители, Молодежь, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2012        ",2012
"239","Общество с ограниченной ответственностью ""Служба помощи""","             Cоциальное обслуживание граждан","             Кировская обл.","                                       Пожилые люди, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2008        ",2008
"240","Объясняшки","             Другое","             Санкт-Петербург и область","                                       Другое, Некоммерческие организации"," 2011        ",2011
"241","ООО ""Альцстор""","             Медтехника, протезно-ортопедические, другие техсредства","             Москва и Московская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2013        ",2013
"242","ООО ""БЕЗ ЗАТЕЙ""","             Сфера услуг","             Башкортостан(Башкирия)","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Молодежь, Студенты, Работающая молодежь, Некоммерческие организации"," 2005        ",2005
"243","ООО ""Богословская ремесленная палата""","             Народные промыслы","             Свердловская обл.","                                       Люди с ограниченными возможностями, инвалиды, Сельские жители"," 2014        ",2014
"244","ООО ""Веста""","             Cоциальное обслуживание граждан","             Ханты-Мансийский АО","                                       Люди с ограниченными возможностями, инвалиды"," 2017        ",2017
"245","ООО ""Дедал""","             Здравоохранение и содействие здоровому образу жизни","             Самарская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 1993        ",1993
"246","ООО ""Добрая помощь""","             Cоциальное обслуживание граждан","             Вологодская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2015        ",2015
"247","ООО ""Елизавета и Ко""","             Легкая промышленность","             Москва и Московская обл.","                                       Родители с детьми"," 2016        ",2016
"248","ООО ""ИнваТурСервис-Крым""","             Cоциальное обслуживание граждан","             Межрегиональный проект","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2015        ",2015
"249","ООО ""Классика""","             Профориентация и трудоустройство","             Кемеровская обл.","                                       Люди с ограниченными возможностями, инвалиды"," 2013        ",2013
"250","ООО ""Листик""","             Детские товары и услуги","             Архангельская обл.","                                       Родители с детьми"," 2015        ",2015
"251","ООО ""Медик-Сервис""","             Медтехника, протезно-ортопедические, другие техсредства","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2011        ",2011
"252","ООО ""Медико-реабилитационный центр Орто-Доктор им. Алехина Ю.И.""","             Медтехника, протезно-ортопедические, другие техсредства","             Курская обл.","                                       Люди с ограниченными возможностями, инвалиды, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"253","ООО ""Несиделки""","             Медтехника, протезно-ортопедические, другие техсредства","             Санкт-Петербург и область","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2010        ",2010
"254","ООО ""Новатор"", НП ""Ремесленная палата Оренбургской области""","             Образование","             Оренбургская обл.","                                       Родители с детьми, Сельские жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО"," 2014        ",2014
"255","ООО ""Новомед""","             Здравоохранение","             Кабардино-Балкария","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Молодежь, Студенты, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2011        ",2011
"256","ООО ""Обсервер""","             Медтехника, протезно-ортопедические, другие техсредства","             Калининградская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2012        ",2012
"257","ООО ""Первое транспортное телевидение""","             Культурно-просветительская деятельность","             Кабардино-Балкария","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2014        ",2014
"258","ООО ""Помогать легко""","             Другое","             Санкт-Петербург и область","                                       Родители с детьми, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет"," 2009        ",2009
"259","ООО ""Помогать легко""","             Здравоохранение","             Санкт-Петербург и область","                                       Пожилые люди, Родители с детьми, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2009        ",2009
"260","ООО ""Реабилитационный центр ""Шаг за шагом""","             Здравоохранение","             Алтайский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2013        ",2013
"261","ООО ""РЕСПУБЛИКА""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое, Некоммерческие организации"," 2014        ",2014
"262","ООО ""РУСФАРТ""","             Профориентация и трудоустройство","             Башкортостан(Башкирия)","                                       Люди с ограниченными возможностями, инвалиды"," 2003        ",2003
"263","ООО ""Сколиолоджик.ру""","             Здравоохранение","             Санкт-Петербург и область","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2012        ",2012
"264","ООО ""Со-Знание""","             Сфера услуг","             Курганская обл.","                                       Пожилые люди, Родители с детьми, Сельские жители, Социально-незащищенные жители, Молодежь, Студенты, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2012        ",2012
"265","ООО ""Социальные предприниматели""","             Народные промыслы","             Тюменская обл.","                                       Пожилые люди, Дошкольники, Учащиеся младших классов"," 2016        ",2016
"266","ООО ""СТРАНА ФАНТАЗИЙ""","             Занятия в детских и молодежных кружках, секциях, студиях","             Красноярский край","                                       Родители с детьми, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Неполные семьи"," 2002        ",2002
"267","ООО ""Счастливая жизнь""","             Туризм","             Коми","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2012        ",2012
"268","ООО ""Театр Премьер""","             Культурно-просветительская деятельность","             Архангельская обл.","                                       Родители с детьми, Учащиеся младших классов, Учащиеся средней школы, Студенты, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2011        ",2011
"269","ООО ""ТИНИФОКС""","             Детские товары и услуги","             Москва и Московская обл.","                                       Родители с детьми, Дети-сироты, приемные семьи, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"270","ООО ""Центр проектирования обуви специального назначения ""ОРТОМОДА""","             Легкая промышленность","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2001        ",2001
"271","ООО ""Центр социального обслуживания ""Милосердие""","             Cоциальное обслуживание граждан","             Калининградская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"272","ООО ""ЦПР Источник""","             Сфера услуг","             Вологодская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дошкольники, Учащиеся младших классов, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2009        ",2009
"273","ООО ""Юлбасма""","             Культура и искусство","             Татарстан","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2014        ",2014
"274","ООО ""Юпитер РА""","             Другое","             Красноярский край","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты"," 2006        ",2006
"275","ООО ""Юрга-Мед""","             Здравоохранение","             Кемеровская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2008        ",2008
"276","ООО ""Юрга-Технологии-Инновации""","             Занятия в детских и молодежных кружках, секциях, студиях","             Кемеровская обл.","                                       Молодежь, Учащиеся младших классов, Учащиеся средней школы"," 2014        ",2014
"277","ООО «Берестянин»","             Народные промыслы","             Иркутская обл.","                                       Пожилые люди, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое"," 2015        ",2015
"278","ООО Детский дошкольный центр ""Солнышко""","             Образование","             Кабардино-Балкария","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Дошкольники"," 2015        ",2015
"279","ООО Компания МАКС","             Благоустройство","             Курская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Другое"," 2016        ",2016
"280","ООО Научно-производственное предприятие ""Детская Восстановительная Медицина""","             Медтехника, протезно-ортопедические, другие техсредства","             Общероссийский проект","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2011        ",2011
"281","ООО ПКБ Соло","             Здравоохранение","             Новосибирская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2014        ",2014
"282","ООО Реабилити","             Медтехника, протезно-ортопедические, другие техсредства","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2017        ",2017
"283","ООО Творческая мастерская","             Детские товары и услуги","             Челябинская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2004        ",2004
"284","ООО Центр семьи и детства ""ФИДОНТЕК""","             Другое","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Неполные семьи"," 2009        ",2009
"285","ООО Школа Высшего Водительского Мастерства и контраварийной подготовки ""Автодрайвер""","             Образование","             Новосибирская обл.","                                       Пожилые люди, Родители с детьми, Сельские жители, Молодежь, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2009        ",2009
"286","ООО""В-Хелпер""","             Медтехника, протезно-ортопедические, другие техсредства","             Свердловская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2011        ",2011
"287","ООО""Жемчужина-Алтай""","             Строительство","             Республика Алтай","                                       Родители с детьми, Некоммерческие организации"," 2013        ",2013
"288","ООО""Соцсервис""","             Cоциальное обслуживание граждан","             Нижегородская (Горьковская)","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2017        ",2017
"289","Ортопедический центр ""Солюкс""","             Медтехника, протезно-ортопедические, другие техсредства","             Кемеровская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2002        ",2002
"290","Открытая школа ""Научилус""","             Образование","             Новосибирская обл.","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2013        ",2013
"291","Пансион для пожилых ""Русь""","             Cоциальное обслуживание граждан","             Санкт-Петербург и область","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Взрослые от 45 до 60 лет"," 2011        ",2011
"292","Пансион для пожилых людей ""СемьЯ""","             Cоциальное обслуживание граждан","             Москва и Московская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2015        ",2015
"293","Пансионат для граждан пожилого возраста и инвалидов ""Забота""","             Cоциальное обслуживание граждан","             Ханты-Мансийский АО","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Лица без определенного места жительства"," 2014        ",2014
